Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Routine_2.started,text_2.started,textbox.started,text_3.started,mouse.started,Routine_2.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,p_nc_l,Pencil,new,pencil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_a_bl_,Marble,old,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,v_s_,Vase,new,vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ta_l_,Table,new,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K_y_,Keys,old,keys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_m_ra,Camera,new,camera,,prop hit from study list,19,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bo_t_e,Bottle,new,bottle,,prop hit from non primed words,5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l_pt_p,Laptop,old,laptop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_li_e,Police,old,,,priming score,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_o_rd,Board,old,board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ha_t,Chart,old,chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,T_hi_t,Tshirt,old,tshirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_s_,Case,old,case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_st_r,Poster,old,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ru_is,Cruise,old,cruise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ou_se,mouse,old,mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ho_e,Phone,old,phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_as_tr_,Pastry,old,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_oo_,Book,old,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_s_io_,Cushion,old,cushion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
