Study_word,test_word,Reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,StudyText.started,Studyslider.started,trial.stopped,Studyslider.response,Studyslider.rt,Routine_2.started,text_2.started,textbox.started,text_3.started,mouse.started,Routine_2.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,T_hi_t,Tshirt,old,tshirt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_st_r,Poster,old,poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_li_e,Police,old,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,P_as_tr_,Pastry,old,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_a_bl_,Marble,old,marble,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_s_io_,Cushion,old,cushion,,prop hit from study list,17,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,l_pt_p,Laptop,old,laptop,,prop hit from non-primed words,5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ru_is,Cruise,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_o_rd,Board,old,,,priming score,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,p_nc_l,Pencil,new,pencil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_oo_,Book,old,book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ho_e,Phone,old,phone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,bo_t_e,Bottle,new,bottle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ta_l_,Table,new,table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_s_,Case,old,case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ou_se,mouse,old,mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,_ha_t,Chart,old,chart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,K_y_,Keys,old,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,c_m_ra,Camera,new,camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,v_s_,Vase,new,vase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
